,DOB,Image,Summary,Name
0,01-02-1914,https://upload.wikimedia.org/wikipedia/commons/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg,"Avtar Kishan Hangal (1 February 1914 – 26 August 2012),[2] popularly known as A. K. Hangal, was an Indian freedom fighter[3] from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005.[4][5] His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna.[6] He has acted in around 225 Hindi films in a career spanning from 1966 to 2005.[7]
",A. K. Hangal
1,,https://upload.wikimedia.org/wikipedia/commons/9/98/Aadhi_Pinisetty_at_Maragatha_Naanayam_audio_launch.jpg,"Aadhi Pinisetty is an Indian film actor who appears in Tamil and Telugu films. He debuted in 2006 with the Telugu film Oka `V` Chitram, and got his big break with 2009 film Eeram, produced by Director S. Shankar.[1] His father, Ravi Raja Pinisetty, has directed 56 films.[2]
",Aadhi
2,23-12-1989,,"Aadi Saikumar (born Aditya Pudipeddi) is an Indian film actor, and cricketer, known for working exclusively in Telugu cinema. Born to veteran actor Sai Kumar Pudipeddi, Aadi made his film debut in 2011 with the film Prema Kavali under the direction of K. Vijaya Bhaskar.[2] The film garnered critical acclaim for Aadi[citation needed] and placed him among the noted young actors. He won the Filmfare Award for Best Male Debut – South for 2011.[3]
",Aadi Pudipeddi
3,14-03-1965,https://upload.wikimedia.org/wikipedia/commons/b/ba/Aamir_Khan_From_The_NDTV_Greenathon_at_Yash_Raj_Studios_%2811%29.jpg,"Mohammed Aamir Hussain Khan (pronounced [ˈaːmɪr ˈxaːn]; born 14 March 1965) is an Indian actor, director, filmmaker and television talk-show host. Through his career spanning over thirty years in Hindi films, Khan has established himself as one of the most popular and influential actors of Indian cinema.[2][3] He has a large global following, especially in India and China, and has been described by Newsweek as ""the biggest movie star""[4][5] in the world.[6][7][8] Khan is the recipient of numerous awards, including nine Filmfare Awards, four National Film Awards, and an AACTA Award, as well as an Academy Award nomination. He was honoured by the Government of India with the Padma Shri in 2003 and the Padma Bhushan in 2010,[9] and received an honorary title from the Government of China in 2017.[10] For years, he has been regularly listed one amongthe 500 Most Influential Muslims of the world.[11][12]
",Aamir Khan
4,21-07-1978,https://upload.wikimedia.org/wikipedia/commons/1/1f/Ashish_choudhry.jpg,"Ashish Chaudhary (born 21 July 1978) is a  Bollywood actor. Then he hosted a program for Disney. He has acted in many music videos as well as advertisements. Afterwards he shifted to television shows and acted in  Hum Pardesi Ho Gaye, Kya Yehi Pyaar Hai. In 2003, he acted in a movie called Qayamat along with Ajay Devgan and Neha Dhupia. Ashish is better known for his role as Boman in Dhamaal. In 2013, he returned to television and acted in a series named Ek Mutthi Aasmaan.
",Aashish Chaudhary
5,21-05-1975,,"Abbas (born 21 May 1975 as Mirza Abbas Ali) is an Indian Tamil film actor and model, who has predominantly appeared in Tamil films, and a few films in Telugu, Malayalam, Hindi and Kannada. After making his debut with Kadhir's Kadhal Desam (1996), Abbas enjoyed success as the second lead actor in Tamil films from 1999 to 2009.
",Abbas
6,15-03-1976,https://upload.wikimedia.org/wikipedia/commons/c/c9/Abhay_Deol_at_Ficci_Frames.jpg,"Abhay Deol (also known as Abhay Singh Deol, born 15 March 1976)[1] is an Indian actor and producer, who works predominantly in Hindi language films. Born in the influential Deol family of the Hindi cinema, he began acting at a young age in theater productions at his school. Deol made his on-screen debut in 2005 with Imtiaz Ali's romantic comedy Socha Na Tha.
",Abhay Deol
7,30-07-1963,https://upload.wikimedia.org/wikipedia/commons/6/6d/Abhijith_Actor.jpg,"Abhijith (Kannada: ಅಭಿಜಿತ್) (born 30 July 1963) is an Indian actor, singer, producer and director working in Kannada films. Starting his career as an actor in the late 1980s, he went on to act in many films through the 1990s and 2000s. He mainly played lead roles and villains in the 1990s and some supporting roles as well.
",Abhijeeth
8,05-02-1976,https://upload.wikimedia.org/wikipedia/commons/7/79/Abhishek_Bachchan.jpg,"Abhishek Bachchan (born 5 February 1976) is an Indian film actor and film producer known for his work in Bollywood. Part of the Bachchan family, he is the son of actors Amitabh Bachchan and Jaya Bachchan.
",Abhishek Bachchan
9,30-04-1964,,"Abhishek Chatterjee (pronounced [abʱiʃek tʃɛʈerdʒi], Bengali: pronunciation (help·info)) is an Indian actor who is known for his work in Bengali cinema.[3][4] He made his acting debut alongside veterans such as Sandhya Roy, Prosenjit Chatterjee, Tapas Paul and Utpal Dutt with the Bengali film Pathbhola (1986) directed by Tarun Majumdar.[5]
",Abhishek Chatterjee
